,prompt,completion,actual_completion
3716,"Great neighborhood. Newly remodeled kitchen with lots of natural light and a big sunroom and outdoor fireplace. House is spacious with Harwood floors,  stainless steel appliances and a reverse osmosis water system. Located in the cul-de-sac. Big driveway with 2 cars garage. Closer to shopping mall,  forest preserve, highway 55 and metra station. Application rental is required to rent. If credit score is 700 or more, security deposit is 1 month otherwise 2 months. At least 6 months lease agreement. Bills are not included. -=>", 2501-3000, 1501-
3490,"Humboldt Park Two Bedroom. Property Address 1532 N. Kedzie | #1F | Chicago, IL 60651 Available: Now Offered By M. Fishman & Co. Description Features here include great living and bedroom space, modern kitchen and bathroom, ample closets and lots of windows for natural light. The building features a secure intercom entry, security cameras, laundry on site, well-maintained landscaping and is close to public transportation. Pet friendly building, one time $300 pet fee. $550 move in fee, no security deposit. Credit/income requirement or qualified cosigner - no evictions. Call or text Kyle @ 708.305.4572! Details Beds/Baths: 2BD/1.0BA Rental Terms Rent: $1,195.00 Available: Now Application Fee: $50.00 Pet Policy Cats allowed Dogs allowed -=>", 1001-1500, 1001-
1818,"PROPERTY INFO ID: 315706545 Rent: $2,400 / Month Beds: 2 Bath: 1 Available Date: 03/01/2023 Pet: Negotiable Rent Includes:: Water Parking:: off-street parking West Town! Ukrainian Village! Wicker Park! Bucktown! Surrounded by TOP  locations in Prime Noble Square ~ Moderns and gorgeous 2 Bed located just half a block off of Ashland and Grand. Featuring: -Stainless Steel appliances including dishwasher and microwave -Laundry in unit -Hardwood flooring throughout -Central heat and ac -High ceilings with ceiling fan -French doors off living room -Private patio -Whirlpool tub -Parking available -Near transportation Pets negotiable Surrounded by Chicagos most popular neighborhoods, A plethora of dining, shopping & nightlife around you. *stock photos may be used FEATURES Central Air Central Heat Dishwasher Dogs Negotiable Granite Counter Tops Hardwood Floors High Ceiling Laundry in Unit Microwave Modern Bathroom Modern Kitchen Parking Available Patio Small Dog OK Stainless Steel Appliances Walk-Up Looking for something else? Check out all my other available apartments here and let me know which of them you'd like to tour! https://ygl.is/Hadi Hadi Sharabi Realtor® MLS ID: 887241 ▪︎ The Apartment Source (773) 272-1860 Hadis@ <URL> 2533 W. Fullerton Ave. Chicago, IL 60647 <URL>/ The Apartment Source Call or text: 773.272.1860 -=>", 2001-2500, 2001-2500
1319,"As I am relocating for a new job, I am subleasing this beautiful lake facing apartment on the 33rd floor at 500 N Lake Shore Dr., from December 1 through February 28. The rent is $2,575 plus utilities $105. I can give the bed with all furnishings at throwaway price. -=>", 2501-3000, 2501-
2364,"Bucktown 2 Bed, 2 Bath 1743 W. North Avenue Available: 5/1/2023 $2750 per Month Beautiful and upgraded 2 bedroom, 2 bath walkup in the heart of Bucktown features central air, hardwood floors, fully equipped island kitchen with stainless steel appliances, granite countertops, gas oven/range, dishwasher, fridge, built-in microwave, spacious living and dining rooms, tall ceilings, flooded with sunlight, stone surround gas fireplace, king size bedrooms, great closet space, upgraded bathrooms, in-unit laundry, back deck and parking included! Cats OK, no dogs, please. Heat Included: No Air Conditioning: Yes Dishwasher: Yes Laundry: In Unit Flooring: Hardwood & Carpet Parking: Yes Pets: Cats OK Square Feet: 1350 Apartment ID: 3976 Please call or text Mary Ann de la Cruz at 773/852-3421 to schedule an appointment to view this apartment and mention Apartment ID above. Urban Abodes 773.676.9000 <URL> 3923 N. Ashland Avenue Chicago, IL 60613 Equal Opportunity Housing -=>", 2501-3000, 2501-
937,"ROOM AVAILABLE (Price does not include utilities) Master Bedroom - $1,400 - This amazing large, spacious bedroom which is practically a studio is located steps from Fulton Market! The master includes a giant walk-in closet layout and an attached en-suite master bathroom. The bathroom features a large jacuzzi tub, double sink, plenty of cabinet storage space, and a large standing shower on the opposite end - who wouldn't want this? In addition, the bedroom has a sizable ceiling fan, large easy-to-open windows for fresh air. SITUATION Seeking an individual to sign with me for SEPTEMBER 1st 2022 - JULY 30, 2023 for this 3 BD/2.5 BA Flat. New roommate would occupy the Master Bedroom. I am renting out the first and second bedrooms in this unit for myself. I have all furniture/entertainment as well as kitchen supplies, cleaning, etc. for the unit. You would only need to worry about your bedroom. I am open to scheduled phone calls followed by a scheduled tour. Video tours can be done as well. This amazing unit is steps from Fulton Market/West Loop! The room does not come furnished. Utilities are not included in rent, but average out $60-$100/MONTH depending on the season. LOOKING FOR I am in search of 1 new roommate M/F in their late 20's/early 30's to fill the large, master bedroom, in this 3 BD/2.5 BA lease. Seeking an individual who is easy-going, friendly, considerate/respectful, and a young professional. Someone who can clean up after themselves (I do understand sometimes we can get busy). Most importantly, communicates well and is financially stable to pay bills and rent on time! ABOUT MYSELF - Fem. (I occupy first and second bedroom) I am 30 y/o - I am a full-time young professional, working in commercial real estate in River North - Typically enjoy weekdays in and weekends over dinner or going out in the city with friends - Easy going, friendly, enjoy a good time with good company - Would like to keep community spaces neat and tidy MORE ABOUT THIS BEAUTIFUL FLAT - Steps from booming Fulton Market & Chicago's prestigious Restaurant Row on Randolph, including renowned headquarters such as Google, McDonald's, and GlassDoor. Prestigious Celebrity Chef Restaurants by Rick Bayless (Cruz Blanca & Lena Brava), Stephanie Izard (Girl & the Goat, and more). Au Cheval, Aba, Bar Siena, The Publican, Swift & Sons, Momotaro, BLVD, and many more! - Easy 3-5 Minute Access to the I-90, I-290 Expressways - Walking Distance to Rush Medical District. - 5 Minute Walk to the Pink and Green Lines (Ashland) and 1 Block Away from Union Park (Pitchfork Festival and Spring Awakening!) - 3 Minute Walk to the United Center for Blackhawks, Bulls, and concertgoers (United Center is visible from the apartment) - Wood Floors, Fireplace, and Stainless-Steel Appliances -Kitchen has granite countertops with a large island and 2 new barstools -New Dishwasher and the kitchen sink has a garbage disposal - In-Unit Washer/Dryer with additional storage - Spacious Back Balcony with large table and chairs as well as evening lighting for ambiance - Permit Street Parking for Residents and Guest Passes for United Center & Union Park events as well! -=>", 1001-1500, 1001-
814,"1427 W. Walton East Village Classic three bedroom, two bathroom walkup in Wicker Park/East Village features updated kitchen with dishwasher, hardwood floors, great light, central heat and air, spacious living area with wood burning fireplace, vaulted ceilings, skylights,  king and queen sized bedrooms, ample closet/storage space, laundry room in building, huge private deck, close to Blue Line and tandem parking for 2 cars included! Please Text or Email Michael Maneykowski at 323/840-4067 to schedule an appointment to view this apartment and mention Apartment ID: 9356. Urban Abodes 773.676.9000 <URL> 3923 N. Ashland Avenue Chicago, IL 60613 Equal Opportunity Housing -=>", 2501-3000, 2501-
3,"PROPERTY INFO ID: 304498955 Rent: $2,800 / Month Beds: 4 Bath: 2 Available Date: 09/15/2022 Pet: Pet Friendly Rent Includes:: Heat *All Brand New Condo-Quality Gut-Rehabs *Brand New Boiler For Heat INCLUDED! But also offers supplemental gas, heat and central air conditioning *High-End Stainless Steel Appliances *Hardwood Floors *Open Floor Plans *New EVERYTHING - Windows, Electric and Plumbing *Gorgeous tree-lined street with easy street parking The Apartment Source Call or text: 773.404.9900 -=>", 2501-3000, 2501-
3754,"Call us @224-238-6057 for a tour or to set up a reservation. We're filling up fast! Book now to reserve!! We offer a safe, clean and affordable stay for you and yours. 9am-10pm Front desk staff to assist for all your needs. always staff on-site and 24hr camera monitoring Queen suites (non-smoking) Great, all-inclusive prices. Save Hundreds Every Month NO Lease – move out when it fits your schedule No Deposit – move in any time Kitchen with full size fridge, 2 burner stove, full size microwave Open face closet 42"" High Def TV with free cable Spacious bathroom with amenities supplied Hardwood floors ADA rooms for handicap Free Basic WI-FI -=>", 501-1000, 1001-
4079,"4631 N. Paulina Ravenswood Beutiful studio in the heart of Ravenswood features cooking gas included, newer kitchen, separate dining area, spacious living area with ceiling fan, amazing closet space, beautiful hardwood floors throughout, newer bathroom, laundry room in building, and pets are welcome! Walking distance to shopping, nightlife, transportation, and more! UA1701 Please Text Michael Maneykowski at 323/840-4067 to schedule an appointment to view this apartment and mention Apartment ID: 21131. Urban Abodes 773.676.9000 <URL> 3923 N. Ashland Avenue Chicago, IL 60613 Equal Opportunity Housing -=>", 1001-1500, 1001-
3629,"Call Dan at Apartment Guys 773-490-0966 and ask for reference #2202567. This beautiful newer construction building is located in the super hot Bucktown neighborhood and features granite countertops, stainless steel appliances including a dishwasher and microwave and IN UNIT WASHER AND DRYER! Enjoy this over oversized private BALCONY! Parking is available and most pets are ok! Prices are subject to change.***Photos may be of a similar unit.****For faster response best to call or text 773-490-0966 with reference #2202567 -=>", 2501-3000, 1501-
184,"PROPERTY INFO ID: 305202141 Rent: $2,400 / Month Beds: 2 Bath: 1 Available Date: 09/01/2022 Pet: Negotiable Rent Includes:: Water Parking:: attached garage 4852 North Talman, #2 Top Floor 3 Bedroom 1 Bath Featuring: * Smaller bedroom perfect for an office * Hardwood floors throughout * Separate living and dining rooms * High Ceilings * Bay Windows * Open Floor Plan * Shared backyard * Radiator heat and split level AC/Heat units * Free laundry room in the basement * Tons of storage * Garage parking available ($200) Please Call Adam Antonucci 847-533-0962 Residential Sales & Leasing Please Call Adam Antonucci 847-533-0962 Residential Sales & Leasing The Apartment Source Call or text: 773.404.9900 -=>", 2001-2500, 2001-2500
4000,SPACIOUS 1BEDROOM PLUS AN EXTRA ROOM GREAT AS AN OFFICE. LIVING AND DINNING ROOM. HARDWOOD AND TILE FLOORS. WALKING DISTANCE TO PUBLIC TRANSPORTATION. SEPARATE UTILITIES. AVAILABLE NOW! CALL 773-983-1603 -=>, 1001-1500, 1001-
3289,"Beautifully maintained spacious one bedroom with lots of sun all day. Near restaurants on 71st street, near Marquette park. No pets. -=>", 501-1000, 1001-
4131,"PROPERTY INFO ID: 326838559 Rent: $2,750 / Month Beds: 2 Bath: 2 Available Date: 07/01/2023 Pet: Cats Allowed Parking:: street parking - Remodeled 2-bed, 2-bath - Modern kitchen - Granite countertops - SS Appliances - Dishwasher - Serving Island - Large bedrooms - Hardwood floors Rockwell & Logan - 2018 Remodel - Free bike storage - Gym on-site - Newer windows - In-unit laundry - Central air - Paid storage available to rent (inquire for availability) - Great area with plenty of entertainment & shopping - NO Security Deposit - Easy Highway Access - 24-Hour Emergency Call Center - Assigned Building Engineer - Cat friendly - Nearby bus lines: #56, #52, #49, #74, #76 ICM Properties has been proudly managing apartments since 1966. Call ICM Properties for details or to arrange a showing at 773 549-5443. To see a list of other ICM properties, visit our website at <URL> FEATURES Air Conditioning Bike Room Ceiling Fan Central Air Close to EL Dishwasher Eat-in Kitchen Gas Heat Gas Stove Granite Countertops Gym/Athletic Facilities Hardwood Floors Laundry in Unit Modern appliances Modern Bathrooms Modern Rehab Near Bus Lines New/Renovated Bath New/Renovated Kitchen New Windows Refrigerator Renovated Renovated Kitchen Stainless Steel Appliances Storage Stove Washer/Dryer in Unit -=>", 2501-3000, 2501-
619,"PICTURES SHOW ACTUAL UNIT BEING REHABBED  Aug 15. UNIT WILL BE AVAILABLE SEPTEMBER 2022 Entire 2nd floor of brick 3 flat in Logan Square two bedrooms plus office (office or guest room) in unit laundry living room with working wood burning fireplace dining room or extra den eat-in kitchen SS appliances and DW HVAC central AC and heat updated bathroom updated kitchen two private decks... wait, what did you just say? 2 decks? COOL!!! wood floors shared yard quiet professional long term tenants in building easy street parking tenants pay gas and electric exclusively represented and showings by Henry Chicago Northside Realty, LLC. One month sec deposit no dogs cat OK $2800 rent $40 per person application fee. Please have good credit score and verifiable income. Logan Square location 2428 N Talman. Great location near expressway California CTA BLUE LINE L station, parks, eateries, and more. Hip and trendy, Logan Square has long been one of Chicago's favorite neighborhoods. The area developed in the early 1800s, when a public green space was designed by Jens Jensen, a landscape architect. Today, Logan Square Park is located in the heart of the neighborhood, wrapped by Logan Boulevard and divided by Milwaukee Avenue. Bicycle-friendly Logan Square is all about living local, from its restaurants that use only locally-farmed produce to local craft breweries to local artists in galleries. With its wide sidewalks and compact design, Logan Square is very walkable. Not too far from Downtown Chicago, with easy access to mass transit -- just hop on the L's Blue Line from the Logan Square Blue Line Station and you'll be downtown in minutes. -=>", 2501-3000, 2501-
2340,"This magnificent building, which is located in the heart of Fulton Market, is the epitome of contemporary elegance. Building amenities: Private Dining Room & Dining Lounge with a Culinary Kitchen Bike Storage Athletic Club with Echelon Bikes and Fitness Equipment Landscaped Third Floor Tranquil Pool and Spa Outdoor Dining and Lounge Pavilion Third Floor Bark Park with Agility Course Entertainment Lounge w/ Billiards, Shuffleboard, & Poker Co-Working Spaces with Both Individual and Group Settings Skygarden With Outdoor Entertainment Beverage Station Pet Grooming Room Rentable Storage Solutions Temperature-Controlled Storage Solutions for Food Delivery If you're interested and like to schedule a tour, give us a call/text or fill out the form below. I'll be glad to assist. Thanks! <URL> Aziz Raji Licensed Real Estate Broker /Apartment locator eXp Realty (License #: 475203927) (312) 620-8686 Disclaimer: Photos may not show the exact units available and may show different model units and different empty units. Apartment availability and rental conditions may vary. Prices, availability, and special offers are subject to change without notice. Please note that prices may be net due to specials or concessions currently running the building. Information is believed to be correct. Neighborhoods: South Loop, Printers Row, Near North, River North, Gold Coast, West Loop, Fulton River District, West Loop Gate, The Loop, Streeterville, Lakeshore East, New East Side, Old Town, Medical District, University Village, Near North, River West, Lincoln Park South, Lakeview, Uptown, Ukrainian Village, Wicker Park, Edgewater, Ravenswood, Bronzeville, Logan Square -=>", 3001-3500, 2001-2500
2346,2 bedroom 2 bathroom 1 car garage. 1700.00 per month -=>, 1501-2000, 1501-
41,"This South Loop luxury apartments boast outstanding amenities that include a fully equipped fitness center and private yoga studio; an internet cafe with coffee bar; a rooftop resident lounge; a scenic rooftop sundeck with outdoor fireplace; a private conference room and a bike sharing Divvy station on 9th Street. Our downtown Chicago apartments in the South Loop are also pet-friendly with a dog run. And our residents Breatheasy because we are a smoke-free community. Our smoke-free Chicago apartments offer a choice of soft loft and classic interior finish packages. Interiors feature nine-foot ceilings; gourmet kitchens with stainless steel and black appliances; 42-inch cherry or light maple kitchen cabinets and granite countertops; washers and dryers; and contemporary lighting. Choosing to live at our smoke-free Chicago apartments is a choice to minimize environmental impact, maximize energy efficiency, and embrace a healthier living environment because we are a LEED Certified building. Lastly but not the least, we are surrounded by great shopping, exciting night life, and outstanding restaurants. Please Call or Text (312) 522-5643 with your move in date, budget and location for timely response and to set up private tours. * -=>", 3501-4000, 3001-
3174,"1743 W. North Avenue Bucktown Stunning and upgraded two bedroom, two bath new construction walkup in Bucktown features central air, hardwood floors, fully equipped gourmet island kitchen with granite countertops and top of the line stainless steel appliances, gas oven/range, dishwasher, fridge, queen and king size bedrooms, good closet space, laundry in unit, upgraded bathrooms with Jacuzzi,  open living and dining rooms, gas fireplace, deck, parking included, short walk to the Blue Line and everything that is happening in Bucktown and Wicker Park! Cats OK, no dogs, please. Please Call Hayley Frazier at 847/322-1838‬ to schedule an appointment to view this apartment and mention Apartment ID: 39382. Urban Abodes 773.676.9000 <URL> 3923 N. Ashland Avenue Chicago, IL 60613 Equal Opportunity Housing -=>", 2501-3000, 2501-
4095,"Unique Bi-level Floor Plan 24 hour Doorman Newly Remodeled Unit Newer Kitchen w SS Appliances Newer Cherrywood Cabinets Upgraded Fitness Center Indoor Pool Convenient location Close to Mag Mile, Entertainment and Dining Steps from Jewels and Walgreens Available June 1st -=>", 2001-2500, 2001-2500
69,"PROPERTY INFO 1449 W Berteau - <URL> Rent: $1,800 / Month Beds: 1 Bath: 1 Available Date: 09/01/2022 Pet: No Pets Rent Includes:: Garbage, Water Parking:: street parking Beautiful Graceland West 1.5 bed 1 bath rehabbed 1st floor. - Granite/Stainless Kitchen - Dishwasher - Separate Living/Dining - Large Master Bedroom w/Dec Fireplace - Beautifully Landscaped Yard - Laundry In Building - Wonderful Tree Lined Street - No Pets Please - 1 mo Sec Dep FEATURES Ceiling Fan Central Air Dining Room Dishwasher Fireplace (Decorative) Granite Counter Tops Hardwood Floors Laundry in Building Microwave Patio Stainless Steel Appliances Sun Room Walk-In Closet Yard The Square One Team 3223 N. Sheffield Chicago, IL 60657 <URL> Leasing Agent:  Absalom Givens License #: 473018524 Phone: (708) 495 -1137 -=>", 1501-2000, 1501-
3757,"$1075 - This Beautiful apartment home located in the heart of Lakeview steps away from all of the outdoorsy activities along the lakefront. Where you will find everything you need within walking distance! The rent includes Water, and Trash, we also offer complimentary wired fiber internet, Bike storage and fitness Room. the building has a Gorgeous Sundeck with one of the best view for a relaxing time. Features and Amenities 》Complimentary fiber internet 》Laundry Room 》Elevator 》Bike storage 》24-hour responsive Engineer 》Sundeck 》Fitness Center 》Cat friendly 》Dishwasher and Microwave Nearby 》Sheridan Red line Stop 》Sheridan & Irving Park - #X9 #80 #151 Buses 》Broadway & Irving Park- #36 #80 Buses 》Whole Foods 》Target 》Pancake Café 》Charlie's Chicago 》FFC East Lakeview and more Please Contact For More Information: Isaac G BJB Properties Inc. 224-253.8883 Equal Housing Opportunity Pictures are for marketing purposes and may not represent the exact unit available Prices subject to change -=>", 1001-1500, 1001-
1878,"Great Evanston Location W/Easy Street Parking! Heat, Hot Water, & Trash Included! Hardwood Floors, Fresh Paint, & Ceiling Lighting! Updated Kitchen Cabinets, Granite Counters, & Black Appliances& Dishwasher! Updated Bathroom! Large Living Room, Large Eat In Kitchen, Ample Closet Space, & Large Bedrooms! Inquire If Parking Is Available For Additional Fee! Secure Entry, Storage, & Onsite Laundry! Cats Ok Up 2 With Only One Time $50 non refundable pet fee per cat! Email Or Txt Joseph Perez Landstar Realty Group, Inc. 630-709-1606 -=>", 1001-1500, 1501-
1206,"Residences at Arlington Heights (847) 305-3424 Unit Details: 1-BR 1-BA | Square Footage: 648 sq ft | Rental Rates: $1335 - $1709/Month! Lease Length: 4-Month, 5-Month, 6-Month, 7-Month, 8-Month, 9-Month, 10-Month, 11-Month, 12-Month, 13-Month, 14-Month, 15-Month, 16-Month, 17-Month, 18-Month Apartment Features: ❖ Balcony, Deck or Patio ❖ Dining Room or Eat-in Kitchen ❖ Dishwasher ❖ Heat and Air Conditioning ❖ Stainless Steel Appliances ❖ Upgraded Cabinets ❖ Walk-in Closets ❖ Wood Floors About Our Community: YES, WE ARE OPEN! CALL NOW TO SCHEDULE AN IN-PERSON TOUR! OR LET US SHOW YOU THROUGH FACETIME! Start your next chapter at The Residences at Arlington Heights and prepare to indulge in our top-of-the-line amenities. Our residents can also enjoy access to a playground and gazebo. At The Residences at Arlington Heights, there's something for everyone! The Arlington is our biggest one bedroom unit at 648 square feet. It features a spacious living area and either a patio or balcony. Wonderful Amenities: ❖ Cabana ❖ Controlled Access ❖ Grill ❖ Laundry Facility ❖ Online Payments Available ❖ Planned Social Activities ❖ Playground ❖ Renters Insurance Program ❖ Walking/Biking Trails ❖ Wi-Fi at Pool and Clubhouse ❖ 24-Hour 2-Floor Fitness Center with State-of-the-Art Equipment ❖ 24-Hour Emergency Maintenance ❖ 48-Hour Maintenance Commitment ❖ Brand New Luxurious Clubhouse ❖ Gameroom and 2-Lane Bowling Alley ❖ Ice Skating Rink **Winter Only ❖ Pet-Friendly Large Dogs Accepted ❖ Resort Style Heated Pool Surrounded by Relaxing Chaise Furnishings Contact Information: Address: 2134 S Goebbert Rd Arlington Heights, IL 60005 (847) 305-3424 Website: <URL>/ Pet Policy: Breed Restriction;Weight Restriction;Available in select buildings. We charge a $350 fee per pet. We also charge $35 for pet rent for each pet monthly. Pet Types: Cats and Dogs Breed restrictions apply. Weight restriction: up to 100 lbs on the first floor. Maximum pets per unit: 2 EQUAL HOUSING OPPORTUNITY FC01089D421C4F6 -=>", 1001-1500, 1001-
1595,It is four story building which with elevator unit is on the Third floor with balcony facing to north 1400 sq feet  unit with fully remodeled open kichen Granet counter top new appliances Garbege Deposal and instant hot water for cafe or Tea nice Neiborhood junior high school cross from the building . Heat and cold and hot water included and tanent only pay electric which include lite  window AC unit and dryer and stove . Rent is included one parking space and one Storge. -=>, 2001-2500, 1501-
2689,"Check Out This Great Buena Park Location W/Easy Access To Stores, Nightlife, Parks, & Transportation! Heat, Hot Water, & Trash Included! Tenant Pays Just Electric! Hardwood Floor, Fresh Paint, & Ceiling Lighting W/Fans! Large Living Room & Queen Size Bedroom! Secure Entry, Elevator Building, & In Building Laundry! Dogs Under 20lbs Ok! Call, Txt, Or Email Joseph Perez Landstar Realty Group, Inc. 630-709-1606 -=>", 1001-1500, 1001-
349,"5050 N. Kenmore Studio including heat & cooking gas. Remodeled, new kitchen & bath, wood floors, laundry in the building. Walking distance to Argyle CTA red line train, CTA bus, Foster beach, grocery stores, restaurants, & more! Studio starting at $900. $65 Application fee. No security deposit. For more details and showing call Celio (773) 396-1575 <URL>. Hunter Properties 773-477-7070 Sample pictures! -=>", 501-1000, 501-1000
1007,"Free water and heat! Small quiet vinage apartment building with 8 apartments. Great location! A few blocks from Lake Michigan and Lake Shore Dr. South Shore train platform within a block Walk 2 blocks to grocery, stores, restaurants and downtown Hyde Park Walk to Harold Washington Park 3 floor walk up Pay washers and dryers on premise Storage area in basement Some of the attractions easily found in Hyde Park: Museum of Science and Industry Promontory Point Smart Museum of Art Frank Lloyd Wright’s Robie House DuSable Museum 1st and last month rent and $500 non-refundable move-in fee required -=>", 501-1000, 1001-
2696,"$1,495 2 Bedrooms | 1 Bathroom AVAILABLE: April 1st, 2023 One time $500 Move-In Fee (Non-refundable || Flat Fee) | No Security Deposit We are just finishing up this completely rehabbed 2nd floor (walk-up) unit in our rear coach house. FEATURES ———————————- *Brand New Chevron Oak Wood Laminate Flooring throughout *Brand New Engineered Wood Flooring in Bathroom *Brand New Washer/Dryer *Brand New Dishwasher *Brand New Built-in Refrigerator *Brand New Garbage Disposal *Brand New Venetian Plaster Bathroom with seamless Tadelakt (Matching Plaster) Shower and Fluted Glass Shower Wall *Walk-in closet in Primary Bedroom houses the W/D. *Very well kept, owner-occupied, gated property *Central Heat *Large, shared, yard/patio *Steps away from Throop Park {Playground, Basketball Court, and Water Feature} —————————————- Convenient to the UIC campus, Rush, Pink Line (1/2 mile), & 90/94. Five-minute walk to some of Pilsen's best restaurants, coffee shops, bars {Thalia Hall, HaiSous, Rubi’s Tacos, Dusek's, S.K.Y., Spoke & Bird Bakehouse, Pilsen Yards, The Alderman, La Luna, etc. } Good credit and proof of a gross monthly household income of  $3,750+ are a MUST. Co-signers accepted. For more information or to set up an in-person or virtual showing, please TEXT 312-543-2855 LEASE TERMS Available April 1st 13 month lease minimum. $500 non-refundable move-in fee required at lease signing {Additional $150 fee for cats. Sorry, no dogs} Landlord pays: water, sewer, trash, snow removal Tenant pays: gas, electric, cable/internet. *Dedicated Rear Parking Currently Available: $75/Month* -=>", 1001-1500, 1001-
3405,"4614 N. Paulina Ravenswood Phenomenal Ravenswood one bedroom one bathroom features cooking gas included, rehabbed kitchen with espresso cabinets, stainless steel appliances, breakfast bar, large combination living and dining rooms with ceiling fan, spacious bedroom, amazing closet space, gorgeous hardwood floors throughout, rehabbed bathroom, laundry room in building, and pets are welcome! Walking distance to shopping, nightlife, transportation, and more! UA1701 Please Text or Call Michael Maneykowski at 323/840-4067 to schedule an appointment to view this apartment and mention Apartment ID: 23548. Urban Abodes 773.676.9000 <URL> 3923 N. Ashland Avenue Chicago, IL 60613 Equal Opportunity Housing -=>", 1001-1500, 1001-
1523,"Lakeview Clark Street & Surf Rent: $925 / Month Studio unit Bath: 1 Available Date: 03/01 Pet: Cats Allowed, no dogs Parking: street parking - It might be a garden but it is in the heart of Lakeview! - Cozy eat-in kitchenette - Vintage bathroom - Excellent water pressure - Gated courtyard building with intercom Live in the middle of everything! Great Lakeview / Lincoln Park Location! Around corner from nightlife, shopping & gym. Close to multiple bus lines and 5 blocks to El train. EVERY UNIT HAS ALL NEW ELECTRIC BASEBOARD HEAT & REQUIRES NO SECURITY DEPOSIT! Laundry in building. ICM Properties Inc. is a professional management company with over 40 years experience with a 24 hour emergency call center. Clark just north of Diversey Call ICM Properties, Inc. for details or to arrange for a showing - To see a list of other ICM properties in your price range go to our website @ <URL> FEATURES Building Engineer Close to EL Eletric Baseboard Heat Gas Stove Hardwood Floors Laundry in Building Near Bus Lines New Windows Refrigerator Stove VIDEO WALK THROUGH Laura Toth 847-361-2911 - cell Laura @ <URL> ICM Properties, Inc. VIEW MORE LISTINGS HERE: https://ygl.is/laurasicmrentals -=>", 501-1000, 501-1000
854,"Ravenswood Studio, 1 Bath 4737 N. Hermitage Available: 9/1/2022 $1295 per Month Extraordinary studio in the heart of Ravenswood features cooking gas included, rehabbed kitchen with espresso cabinets, granite countertops, stainless steel appliances, dishwasher, separate dining area, spacious living area, gorgeous hardwood floors throughout, rehabbed bathroom, laundry room in building, and pets  are welcome! Steps to shopping, nightlife, transportation, and more! UA1701 Heat Included: No Air Conditioning: No Dishwasher: Yes Laundry: In Building Flooring: Hardwood Parking: Street Pets: Cats and Dogs OK Square Feet: 500 Apartment ID: 29413 Please call or text Laura Labott at 863/253-9256 to schedule an appointment to view this apartment and mention Apartment ID above. Urban Abodes 863.253.9256 <URL> 3923 N. Ashland Avenue Chicago, IL 60613 Equal Opportunity Housing -=>", 1001-1500, 1001-
4059,3 bedroom 1 bathroom apartment Modern/vintage apartment move-in ready spacious living area with fireplace Hardwood floors Granite countertops On-site laundry & more 580-600 Credit score 3x rental amount No evictions in the last 3 years No criminal background in the last 3 years Section 8 welcome -=>, 1001-1500, 1501-
1827,"Residences at Lakeside Address: 830 Foxworth Blvd Lombard, IL 60148 Bedrooms: 2 | Baths: 2 | Sq. Footage: 1042 sq ft | Pricing: $1774 - $2241/Month Terms: 4-Month, 5-Month, 6-Month, 7-Month, 8-Month, 9-Month, 10-Month, 11-Month, 12-Month, 13-Month, 14-Month, 15-Month, 16-Month, 17-Month, 18-Month (630) 883-0344 + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + Features in this apartment home: − Balcony or Patio − Cable Ready − Hardwood Flooring (select units) − In-Home Washer/Dryer − Marble Countertops (select units) − Pond Views (select units) − Stainless Steel Appliances (select units) − Walk-in closets (select units) − 1st Floor − Balcony or Patio − Classic Unit − Hardwood Flooring* − In-Home Washer/Dryer − LOCATION Back − Marble Countertops* − Pond Views* − Stainless Steel Appliances* − Walk-in closets * + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + Amenities at our property: − Arcade Games Room − Bowling Alley − Online Payments Available − Onsite Maintenance − Onsite Management − Pet Park − Soccer Field − Tennis Court − Building Elevator Access − Cardio Equipment, Free Weights, Peloton Bike and more! − Coffee Bar − New 24-Hour State-of-the-Art Fitness Center − Pet Friendly Bark Park − Ping Pong Table and Pool Table − Resort Style Heated Pool with Luxurious Cabanas (Coming Soon) − Scenic Ponds + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + About the community: YES, WE ARE OPEN! CALL NOW TO SCHEDULE AN IN-PERSON TOUR! OR LET US SHOW YOU THROUGH FACETIME! At Residences at Lakeside, our community is sure to exceed your apartment expectations. Choose from a vast selection of one, two, and three-bedroom apartments in Lombard, IL. Residents can enjoy apartment features including stainless steel appliances, in-home washer and dryers, and much more! See all the excitement Residences at Lakeside has to offer. Check the availability on our floor plans and apply online for your new home today. Pets: Breed Restriction;We allow pets for a pet fee of $350 per pet and rent of $35 per pet per month. Phone: (630) 883-0344 Mon - Fri: 9:00 AM - 6:00 PM Sat: 10:00 AM - 5:00 PM Website: <URL>/ Management: JRK Property Holdings *Prices are subject to change without notice EQUAL HOUSING OPPORTUNITY 85B4718D3DBC474 -=>", 1501-2000, 1501-
